=== METRICS: train/jsrt ===

JPCLN148.png: DSC=0.3374, IoU=0.2029, Sens=0.2031, Spec=0.9997, MCC=0.3790, Kappa=0.2519, HD95=198.35, NSD=0.0349
JPCLN149.png: DSC=0.3634, IoU=0.2221, Sens=0.2221, Spec=1.0000, MCC=0.4171, Kappa=0.2964, HD95=313.47, NSD=0.0146
JPCLN150.png: DSC=0.4170, IoU=0.2634, Sens=0.2640, Spec=0.9990, MCC=0.4431, Kappa=0.3309, HD95=153.20, NSD=0.0647
JPCLN151.png: DSC=0.8297, IoU=0.7090, Sens=0.7384, Spec=0.9847, MCC=0.7874, Kappa=0.7770, HD95=38.21, NSD=0.1585
JPCLN152.png: DSC=0.4411, IoU=0.2829, Sens=0.2834, Spec=0.9993, MCC=0.4606, Kappa=0.3520, HD95=239.70, NSD=0.0713
JPCLN153.png: DSC=0.3351, IoU=0.2013, Sens=0.2042, Spec=0.9916, MCC=0.3472, Kappa=0.2341, HD95=340.07, NSD=0.0662
JPCLN154.png: DSC=0.4081, IoU=0.2564, Sens=0.2565, Spec=0.9999, MCC=0.4510, Kappa=0.3385, HD95=250.80, NSD=0.0424
JPCNN001.png: DSC=0.3568, IoU=0.2172, Sens=0.2175, Spec=0.9990, MCC=0.3767, Kappa=0.2506, HD95=258.57, NSD=0.0210
JPCNN002.png: DSC=0.1995, IoU=0.1108, Sens=0.1108, Spec=1.0000, MCC=0.2723, Kappa=0.1381, HD95=287.22, NSD=0.0174
JPCNN003.png: DSC=0.3322, IoU=0.1992, Sens=0.2006, Spec=0.9979, MCC=0.3912, Kappa=0.2738, HD95=294.18, NSD=0.0880
JPCNN004.png: DSC=0.3641, IoU=0.2226, Sens=0.2226, Spec=0.9999, MCC=0.4115, Kappa=0.2901, HD95=151.92, NSD=0.0379
JPCNN005.png: DSC=0.2543, IoU=0.1456, Sens=0.1458, Spec=0.9995, MCC=0.3043, Kappa=0.1708, HD95=357.94, NSD=0.0360
JPCNN006.png: DSC=0.3843, IoU=0.2379, Sens=0.2379, Spec=1.0000, MCC=0.4170, Kappa=0.2963, HD95=244.95, NSD=0.0094
JPCNN007.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
JPCNN008.png: DSC=0.3757, IoU=0.2313, Sens=0.2316, Spec=0.9994, MCC=0.4074, Kappa=0.2863, HD95=133.11, NSD=0.0284
JPCNN009.png: DSC=0.3083, IoU=0.1822, Sens=0.1822, Spec=0.9999, MCC=0.3630, Kappa=0.2330, HD95=197.41, NSD=0.0385
JPCNN010.png: DSC=0.3836, IoU=0.2373, Sens=0.2373, Spec=1.0000, MCC=0.4054, Kappa=0.2823, HD95=172.98, NSD=0.0000
JPCNN011.png: DSC=0.4885, IoU=0.3232, Sens=0.3232, Spec=1.0000, MCC=0.5073, Kappa=0.4093, HD95=139.40, NSD=0.0511
JPCNN012.png: DSC=0.3185, IoU=0.1894, Sens=0.1896, Spec=0.9997, MCC=0.3606, Kappa=0.2311, HD95=378.34, NSD=0.0301
JPCNN013.png: DSC=0.1613, IoU=0.0877, Sens=0.0880, Spec=0.9990, MCC=0.2474, Kappa=0.1196, HD95=341.85, NSD=0.0548
JPCNN014.png: DSC=0.2958, IoU=0.1736, Sens=0.1736, Spec=1.0000, MCC=0.3591, Kappa=0.2285, HD95=224.36, NSD=0.0155
