=== METRICS: train/normal ===

Normal (1489).png: DSC=0.9442, IoU=0.8943, Sens=0.9460, Spec=0.9805, MCC=0.9254, Kappa=0.9254, HD95=7.28, NSD=0.6502
Normal (1490).png: DSC=0.9341, IoU=0.8763, Sens=0.8982, Spec=0.9863, MCC=0.9018, Kappa=0.9002, HD95=13.27, NSD=0.6223
Normal (1491).png: DSC=0.9285, IoU=0.8666, Sens=0.9400, Spec=0.9729, MCC=0.9054, Kappa=0.9053, HD95=8.06, NSD=0.5404
Normal (1492).png: DSC=0.8152, IoU=0.6880, Sens=0.6896, Spec=0.9991, MCC=0.7814, Kappa=0.7591, HD95=22.66, NSD=0.3164
Normal (1493).png: DSC=0.8382, IoU=0.7215, Sens=0.7233, Spec=0.9985, MCC=0.7877, Kappa=0.7668, HD95=18.19, NSD=0.2325
Normal (1494).png: DSC=0.8239, IoU=0.7006, Sens=0.7070, Spec=0.9977, MCC=0.8047, Kappa=0.7887, HD95=27.10, NSD=0.4093
Normal (1495).png: DSC=0.9305, IoU=0.8701, Sens=0.9564, Spec=0.9663, MCC=0.9066, Kappa=0.9060, HD95=7.07, NSD=0.5131
Normal (1496).png: DSC=0.9443, IoU=0.8944, Sens=0.9617, Spec=0.9703, MCC=0.9220, Kappa=0.9217, HD95=6.32, NSD=0.6602
Normal (1497).png: DSC=0.9088, IoU=0.8328, Sens=0.9283, Spec=0.9471, MCC=0.8658, Kappa=0.8654, HD95=12.00, NSD=0.4523
Normal (1498).png: DSC=0.9313, IoU=0.8714, Sens=0.9338, Spec=0.9688, MCC=0.9012, Kappa=0.9012, HD95=9.85, NSD=0.5068
Normal (1499).png: DSC=0.8045, IoU=0.6730, Sens=0.9648, Spec=0.9010, MCC=0.7679, Kappa=0.7504, HD95=29.66, NSD=0.3629
Normal (1500).png: DSC=0.9075, IoU=0.8307, Sens=0.9121, Spec=0.9743, MCC=0.8832, Kappa=0.8831, HD95=9.06, NSD=0.5035
Normal (1501).png: DSC=0.9387, IoU=0.8845, Sens=0.9032, Spec=0.9880, MCC=0.9076, Kappa=0.9060, HD95=12.81, NSD=0.6126
Normal (1502).png: DSC=0.9304, IoU=0.8699, Sens=0.9619, Spec=0.9560, MCC=0.9011, Kappa=0.9001, HD95=10.76, NSD=0.5582
Normal (1503).png: DSC=0.9162, IoU=0.8454, Sens=0.8552, Spec=0.9971, MCC=0.9003, Kappa=0.8968, HD95=8.49, NSD=0.5788
Normal (1504).png: DSC=0.8732, IoU=0.7749, Sens=0.9690, Spec=0.9434, MCC=0.8475, Kappa=0.8410, HD95=19.24, NSD=0.5791
Normal (1505).png: DSC=0.9332, IoU=0.8748, Sens=0.9337, Spec=0.9783, MCC=0.9117, Kappa=0.9117, HD95=6.00, NSD=0.6341
