=== METRICS: train/normal ===

Normal (1507).png: DSC=0.5424, IoU=0.3721, Sens=0.4366, Spec=0.9258, MCC=0.4296, Kappa=0.4080, HD95=109.11, NSD=0.0823
Normal (1508).png: DSC=0.6454, IoU=0.4764, Sens=0.4785, Spec=0.9984, MCC=0.6276, Kappa=0.5682, HD95=168.03, NSD=0.1688
Normal (1509).png: DSC=0.8877, IoU=0.7980, Sens=0.8058, Spec=0.9948, MCC=0.8462, Kappa=0.8370, HD95=29.07, NSD=0.2682
Normal (1510).png: DSC=0.9138, IoU=0.8413, Sens=0.8827, Spec=0.9858, MCC=0.8910, Kappa=0.8901, HD95=21.97, NSD=0.1879
Normal (1511).png: DSC=0.9051, IoU=0.8267, Sens=0.8664, Spec=0.9662, MCC=0.8455, Kappa=0.8432, HD95=46.17, NSD=0.2089
Normal (1512).png: DSC=0.8980, IoU=0.8149, Sens=0.8608, Spec=0.9807, MCC=0.8665, Kappa=0.8651, HD95=23.61, NSD=0.1806
Normal (1513).png: DSC=0.7641, IoU=0.6183, Sens=0.6239, Spec=0.9942, MCC=0.6994, Kappa=0.6622, HD95=59.44, NSD=0.1814
Normal (1514).png: DSC=0.8924, IoU=0.8058, Sens=0.8732, Spec=0.9523, MCC=0.8337, Kappa=0.8332, HD95=31.74, NSD=0.1113
Normal (1515).png: DSC=0.9176, IoU=0.8477, Sens=0.8733, Spec=0.9917, MCC=0.8982, Kappa=0.8964, HD95=17.11, NSD=0.2684
Normal (1516).png: DSC=0.0161, IoU=0.0081, Sens=0.0084, Spec=0.9919, MCC=0.0014, Kappa=0.0005, HD95=127.70, NSD=0.0710
Normal (1517).png: DSC=0.8908, IoU=0.8031, Sens=0.8283, Spec=0.9852, MCC=0.8495, Kappa=0.8446, HD95=29.03, NSD=0.1811
Normal (1518).png: DSC=0.8968, IoU=0.8129, Sens=0.8536, Spec=0.9848, MCC=0.8694, Kappa=0.8676, HD95=23.07, NSD=0.2606
