=== METRICS: train/covid-19 ===

covid_229.png: DSC=0.6200, IoU=0.4492, Sens=0.4588, Spec=0.9968, MCC=0.6332, Kappa=0.5847, HD95=52.28, NSD=0.1321
covid_23.png: DSC=0.8768, IoU=0.7805, Sens=0.8013, Spec=0.9933, MCC=0.8548, Kappa=0.8491, HD95=13.10, NSD=0.4671
covid_231.png: DSC=0.8128, IoU=0.6847, Sens=0.7206, Spec=0.9908, MCC=0.7933, Kappa=0.7847, HD95=11.31, NSD=0.2498
covid_232.png: DSC=0.5770, IoU=0.4055, Sens=0.4240, Spec=0.9665, MCC=0.4832, Kappa=0.4198, HD95=40.56, NSD=0.0703
covid_233.png: DSC=0.9006, IoU=0.8192, Sens=0.8323, Spec=0.9947, MCC=0.8759, Kappa=0.8709, HD95=9.86, NSD=0.3896
covid_235.png: DSC=0.8293, IoU=0.7083, Sens=0.7249, Spec=0.9885, MCC=0.7779, Kappa=0.7621, HD95=17.00, NSD=0.2985
covid_236.png: DSC=0.7845, IoU=0.6455, Sens=0.7096, Spec=0.9876, MCC=0.7661, Kappa=0.7608, HD95=23.47, NSD=0.2645
covid_237.png: DSC=0.3663, IoU=0.2242, Sens=0.2417, Spec=0.9446, MCC=0.2705, Kappa=0.2067, HD95=137.94, NSD=0.1278
covid_239.png: DSC=0.8120, IoU=0.6836, Sens=0.6982, Spec=0.9907, MCC=0.7667, Kappa=0.7482, HD95=23.89, NSD=0.2979
covid_24.png: DSC=0.9051, IoU=0.8267, Sens=0.8937, Spec=0.9451, MCC=0.8424, Kappa=0.8422, HD95=12.08, NSD=0.3724
covid_241.png: DSC=0.7486, IoU=0.5982, Sens=0.6083, Spec=0.9943, MCC=0.7185, Kappa=0.6886, HD95=25.52, NSD=0.1928
covid_242.png: DSC=0.7664, IoU=0.6212, Sens=0.6348, Spec=0.9931, MCC=0.7359, Kappa=0.7113, HD95=18.37, NSD=0.2358
covid_243.png: DSC=0.7300, IoU=0.5747, Sens=0.6465, Spec=0.9167, MCC=0.5973, Kappa=0.5854, HD95=36.85, NSD=0.1917
covid_244.png: DSC=0.6788, IoU=0.5137, Sens=0.5202, Spec=0.9942, MCC=0.6394, Kappa=0.5886, HD95=100.20, NSD=0.1784
covid_245.png: DSC=0.0292, IoU=0.0148, Sens=0.0150, Spec=0.9951, MCC=0.0522, Kappa=0.0137, HD95=167.45, NSD=0.0387
covid_246.png: DSC=0.9079, IoU=0.8313, Sens=0.8775, Spec=0.9820, MCC=0.8804, Kappa=0.8794, HD95=12.14, NSD=0.4229
covid_248.png: DSC=0.8072, IoU=0.6768, Sens=0.6853, Spec=0.9974, MCC=0.7929, Kappa=0.7758, HD95=25.28, NSD=0.3149
covid_249.png: DSC=0.5225, IoU=0.3537, Sens=0.3589, Spec=0.9972, MCC=0.5509, Kappa=0.4775, HD95=83.34, NSD=0.2520
covid_25.png: DSC=0.8474, IoU=0.7351, Sens=0.7636, Spec=0.9857, MCC=0.8076, Kappa=0.7991, HD95=12.53, NSD=0.2177
covid_251.png: DSC=0.8044, IoU=0.6727, Sens=0.6890, Spec=0.9859, MCC=0.7399, Kappa=0.7181, HD95=20.00, NSD=0.2826
covid_252.png: DSC=0.3590, IoU=0.2188, Sens=0.2299, Spec=0.9910, MCC=0.3926, Kappa=0.3138, HD95=120.61, NSD=0.1752
covid_257.png: DSC=0.6982, IoU=0.5363, Sens=0.5518, Spec=0.9903, MCC=0.6659, Kappa=0.6296, HD95=36.76, NSD=0.1976
covid_259.png: DSC=0.7222, IoU=0.5652, Sens=0.5655, Spec=0.9999, MCC=0.7122, Kappa=0.6733, HD95=24.33, NSD=0.0901
covid_263.png: DSC=0.8234, IoU=0.6998, Sens=0.7136, Spec=0.9912, MCC=0.7776, Kappa=0.7605, HD95=17.00, NSD=0.3030
covid_264.png: DSC=0.6979, IoU=0.5360, Sens=0.5409, Spec=0.9983, MCC=0.6988, Kappa=0.6606, HD95=18.99, NSD=0.1550
covid_267.png: DSC=0.7754, IoU=0.6332, Sens=0.6486, Spec=0.9959, MCC=0.7650, Kappa=0.7461, HD95=21.95, NSD=0.1776
covid_27.png: DSC=0.6658, IoU=0.4991, Sens=0.5157, Spec=0.9930, MCC=0.6563, Kappa=0.6191, HD95=68.41, NSD=0.1935
covid_28.png: DSC=0.9023, IoU=0.8220, Sens=0.8484, Spec=0.9862, MCC=0.8675, Kappa=0.8641, HD95=11.05, NSD=0.3915
covid_29.png: DSC=0.9049, IoU=0.8263, Sens=0.8726, Spec=0.9850, MCC=0.8816, Kappa=0.8806, HD95=12.81, NSD=0.4961
covid_31.png: DSC=0.8388, IoU=0.7224, Sens=0.7564, Spec=0.9614, MCC=0.7431, Kappa=0.7307, HD95=17.46, NSD=0.2685
covid_32.png: DSC=0.8471, IoU=0.7348, Sens=0.7568, Spec=0.9851, MCC=0.7953, Kappa=0.7839, HD95=15.00, NSD=0.2499
covid_33.png: DSC=0.8974, IoU=0.8139, Sens=0.8288, Spec=0.9916, MCC=0.8617, Kappa=0.8559, HD95=15.00, NSD=0.4570
covid_35.png: DSC=0.6504, IoU=0.4820, Sens=0.4886, Spec=0.9977, MCC=0.6592, Kappa=0.6133, HD95=55.42, NSD=0.2209
covid_37.png: DSC=0.7692, IoU=0.6250, Sens=0.6533, Spec=0.9877, MCC=0.7375, Kappa=0.7202, HD95=19.65, NSD=0.1971
covid_38.png: DSC=0.8526, IoU=0.7430, Sens=0.7931, Spec=0.9883, MCC=0.8323, Kappa=0.8291, HD95=14.41, NSD=0.4128
covid_39.png: DSC=0.4938, IoU=0.3278, Sens=0.3281, Spec=0.9999, MCC=0.5357, Kappa=0.4466, HD95=42.85, NSD=0.0852
covid_4.png: DSC=0.6692, IoU=0.5028, Sens=0.5032, Spec=0.9998, MCC=0.6676, Kappa=0.6170, HD95=48.95, NSD=0.1485
covid_41.png: DSC=0.0835, IoU=0.0436, Sens=0.0437, Spec=0.9993, MCC=0.1816, Kappa=0.0691, HD95=128.96, NSD=0.1049
covid_42.png: DSC=0.8573, IoU=0.7502, Sens=0.7988, Spec=0.9830, MCC=0.8267, Kappa=0.8233, HD95=11.18, NSD=0.2416
covid_44.png: DSC=0.5467, IoU=0.3761, Sens=0.3796, Spec=0.9980, MCC=0.5695, Kappa=0.4970, HD95=49.07, NSD=0.2261
covid_45.png: DSC=0.8547, IoU=0.7463, Sens=0.7688, Spec=0.9880, MCC=0.8147, Kappa=0.8056, HD95=14.56, NSD=0.2936
covid_47.png: DSC=0.8752, IoU=0.7781, Sens=0.9362, Spec=0.9571, MCC=0.8494, Kappa=0.8467, HD95=10.86, NSD=0.3561
covid_49.png: DSC=0.7998, IoU=0.6664, Sens=0.6783, Spec=0.9959, MCC=0.7812, Kappa=0.7634, HD95=25.57, NSD=0.4135
covid_5.png: DSC=0.7448, IoU=0.5934, Sens=0.6074, Spec=0.9899, MCC=0.6991, Kappa=0.6682, HD95=48.16, NSD=0.2125
covid_50.png: DSC=0.8199, IoU=0.6947, Sens=0.7177, Spec=0.9941, MCC=0.8038, Kappa=0.7930, HD95=14.56, NSD=0.3847
covid_52.png: DSC=0.8536, IoU=0.7446, Sens=0.7939, Spec=0.9749, MCC=0.8079, Kappa=0.8038, HD95=16.03, NSD=0.3013
covid_54.png: DSC=0.4165, IoU=0.2630, Sens=0.2630, Spec=1.0000, MCC=0.4764, Kappa=0.3700, HD95=71.24, NSD=0.0482
covid_55.png: DSC=0.7842, IoU=0.6451, Sens=0.6498, Spec=0.9983, MCC=0.7693, Kappa=0.7462, HD95=18.44, NSD=0.2288
covid_56.png: DSC=0.7306, IoU=0.5756, Sens=0.6221, Spec=0.9762, MCC=0.6843, Kappa=0.6683, HD95=27.70, NSD=0.2003
covid_6.png: DSC=0.7296, IoU=0.5743, Sens=0.5784, Spec=0.9966, MCC=0.6868, Kappa=0.6452, HD95=26.90, NSD=0.3034
covid_60.png: DSC=0.7897, IoU=0.6525, Sens=0.6667, Spec=0.9948, MCC=0.7693, Kappa=0.7506, HD95=21.21, NSD=0.3359
covid_61.png: DSC=0.6918, IoU=0.5289, Sens=0.5309, Spec=0.9992, MCC=0.6918, Kappa=0.6493, HD95=23.00, NSD=0.2678
covid_62.png: DSC=0.7978, IoU=0.6635, Sens=0.6754, Spec=0.9933, MCC=0.7603, Kappa=0.7392, HD95=21.10, NSD=0.3519
covid_64.png: DSC=0.8670, IoU=0.7653, Sens=0.7698, Spec=0.9976, MCC=0.8340, Kappa=0.8220, HD95=13.00, NSD=0.2856
covid_65.png: DSC=0.6285, IoU=0.4583, Sens=0.4583, Spec=1.0000, MCC=0.6338, Kappa=0.5732, HD95=27.27, NSD=0.0763
covid_66.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
