=== METRICS: train/jsrt ===

JPCLN099.png: DSC=0.9048, IoU=0.8261, Sens=0.8673, Spec=0.9833, MCC=0.8760, Kappa=0.8746, HD95=9.22, NSD=0.4506
JPCLN100.png: DSC=0.8579, IoU=0.7511, Sens=0.8178, Spec=0.9659, MCC=0.8087, Kappa=0.8069, HD95=12.04, NSD=0.1608
JPCLN101.png: DSC=0.8663, IoU=0.7642, Sens=0.8021, Spec=0.9709, MCC=0.8033, Kappa=0.7973, HD95=23.35, NSD=0.2882
JPCLN102.png: DSC=0.9074, IoU=0.8306, Sens=0.8430, Spec=0.9911, MCC=0.8645, Kappa=0.8586, HD95=10.63, NSD=0.3981
JPCLN103.png: DSC=0.8867, IoU=0.7965, Sens=0.8023, Spec=0.9947, MCC=0.8303, Kappa=0.8184, HD95=14.00, NSD=0.3494
JPCLN104.png: DSC=0.9161, IoU=0.8451, Sens=0.8633, Spec=0.9892, MCC=0.8812, Kappa=0.8777, HD95=10.63, NSD=0.4648
JPCLN105.png: DSC=0.9122, IoU=0.8386, Sens=0.8545, Spec=0.9923, MCC=0.8835, Kappa=0.8797, HD95=8.06, NSD=0.4379
JPCLN106.png: DSC=0.9025, IoU=0.8223, Sens=0.8517, Spec=0.9825, MCC=0.8622, Kappa=0.8589, HD95=14.97, NSD=0.4044
JPCLN107.png: DSC=0.8545, IoU=0.7459, Sens=0.7640, Spec=0.9783, MCC=0.7668, Kappa=0.7509, HD95=22.01, NSD=0.3284
JPCLN108.png: DSC=0.8845, IoU=0.7929, Sens=0.8186, Spec=0.9862, MCC=0.8460, Kappa=0.8408, HD95=16.22, NSD=0.3679
JPCLN109.png: DSC=0.9108, IoU=0.8361, Sens=0.8479, Spec=0.9932, MCC=0.8773, Kappa=0.8723, HD95=11.00, NSD=0.4586
JPCLN110.png: DSC=0.9179, IoU=0.8483, Sens=0.8530, Spec=0.9973, MCC=0.8878, Kappa=0.8825, HD95=10.82, NSD=0.4354
JPCLN111.png: DSC=0.8841, IoU=0.7922, Sens=0.7997, Spec=0.9935, MCC=0.8287, Kappa=0.8171, HD95=12.04, NSD=0.2537
JPCLN112.png: DSC=0.9016, IoU=0.8208, Sens=0.8296, Spec=0.9941, MCC=0.8610, Kappa=0.8539, HD95=11.31, NSD=0.3798
JPCLN113.png: DSC=0.8698, IoU=0.7695, Sens=0.7971, Spec=0.9804, MCC=0.8155, Kappa=0.8081, HD95=14.82, NSD=0.1910
JPCLN114.png: DSC=0.9031, IoU=0.8234, Sens=0.8463, Spec=0.9897, MCC=0.8742, Kappa=0.8707, HD95=9.00, NSD=0.4267
JPCLN115.png: DSC=0.8861, IoU=0.7955, Sens=0.8138, Spec=0.9840, MCC=0.8264, Kappa=0.8180, HD95=17.20, NSD=0.2632
JPCLN116.png: DSC=0.8757, IoU=0.7788, Sens=0.8262, Spec=0.9780, MCC=0.8370, Kappa=0.8343, HD95=13.34, NSD=0.3407
JPCLN117.png: DSC=0.9102, IoU=0.8351, Sens=0.8783, Spec=0.9814, MCC=0.8805, Kappa=0.8795, HD95=9.90, NSD=0.4181
JPCLN118.png: DSC=0.8652, IoU=0.7624, Sens=0.7788, Spec=0.9844, MCC=0.7974, Kappa=0.7848, HD95=20.52, NSD=0.2848
JPCLN119.png: DSC=0.9074, IoU=0.8304, Sens=0.8935, Spec=0.9776, MCC=0.8808, Kappa=0.8806, HD95=9.01, NSD=0.4050
JPCLN120.png: DSC=0.9060, IoU=0.8282, Sens=0.8310, Spec=0.9978, MCC=0.8618, Kappa=0.8532, HD95=11.73, NSD=0.3369
JPCLN121.png: DSC=0.9125, IoU=0.8391, Sens=0.8667, Spec=0.9845, MCC=0.8769, Kappa=0.8744, HD95=9.00, NSD=0.3623
JPCLN122.png: DSC=0.9000, IoU=0.8182, Sens=0.8396, Spec=0.9872, MCC=0.8607, Kappa=0.8561, HD95=9.22, NSD=0.3343
JPCLN123.png: DSC=0.9118, IoU=0.8380, Sens=0.8698, Spec=0.9846, MCC=0.8805, Kappa=0.8786, HD95=8.58, NSD=0.3784
JPCLN124.png: DSC=0.9041, IoU=0.8250, Sens=0.8467, Spec=0.9884, MCC=0.8697, Kappa=0.8657, HD95=8.25, NSD=0.3751
JPCLN125.png: DSC=0.8949, IoU=0.8098, Sens=0.8310, Spec=0.9878, MCC=0.8563, Kappa=0.8512, HD95=10.00, NSD=0.3605
JPCLN126.png: DSC=0.8596, IoU=0.7538, Sens=0.7598, Spec=0.9944, MCC=0.7979, Kappa=0.7809, HD95=19.21, NSD=0.2476
JPCLN127.png: DSC=0.9011, IoU=0.8200, Sens=0.8731, Spec=0.9767, MCC=0.8678, Kappa=0.8670, HD95=8.00, NSD=0.3158
JPCLN128.png: DSC=0.9130, IoU=0.8400, Sens=0.8452, Spec=0.9979, MCC=0.8915, Kappa=0.8867, HD95=11.31, NSD=0.5753
JPCLN129.png: DSC=0.8459, IoU=0.7329, Sens=0.7437, Spec=0.9877, MCC=0.7661, Kappa=0.7462, HD95=21.32, NSD=0.3121
JPCLN130.png: DSC=0.8985, IoU=0.8157, Sens=0.8409, Spec=0.9852, MCC=0.8589, Kappa=0.8548, HD95=12.00, NSD=0.3557
JPCLN131.png: DSC=0.8720, IoU=0.7730, Sens=0.8288, Spec=0.9815, MCC=0.8430, Kappa=0.8412, HD95=8.00, NSD=0.2911
JPCLN132.png: DSC=0.9351, IoU=0.8781, Sens=0.9195, Spec=0.9824, MCC=0.9117, Kappa=0.9114, HD95=7.00, NSD=0.5265
JPCLN133.png: DSC=0.8938, IoU=0.8079, Sens=0.8533, Spec=0.9722, MCC=0.8468, Kappa=0.8448, HD95=14.42, NSD=0.3292
JPCLN134.png: DSC=0.9007, IoU=0.8194, Sens=0.8518, Spec=0.9865, MCC=0.8719, Kappa=0.8694, HD95=7.62, NSD=0.3080
JPCLN135.png: DSC=0.8886, IoU=0.7995, Sens=0.8566, Spec=0.9698, MCC=0.8450, Kappa=0.8439, HD95=12.00, NSD=0.2748
JPCLN136.png: DSC=0.8598, IoU=0.7541, Sens=0.8295, Spec=0.9682, MCC=0.8183, Kappa=0.8174, HD95=12.06, NSD=0.2750
JPCLN137.png: DSC=0.8914, IoU=0.8042, Sens=0.8290, Spec=0.9928, MCC=0.8721, Kappa=0.8685, HD95=8.55, NSD=0.4266
JPCLN138.png: DSC=0.9261, IoU=0.8624, Sens=0.8930, Spec=0.9858, MCC=0.8993, Kappa=0.8981, HD95=7.00, NSD=0.4853
JPCLN139.png: DSC=0.9142, IoU=0.8420, Sens=0.8659, Spec=0.9841, MCC=0.8733, Kappa=0.8702, HD95=8.49, NSD=0.3398
JPCLN140.png: DSC=0.9166, IoU=0.8460, Sens=0.8663, Spec=0.9837, MCC=0.8690, Kappa=0.8652, HD95=13.14, NSD=0.3969
JPCLN141.png: DSC=0.8224, IoU=0.6983, Sens=0.7312, Spec=0.9768, MCC=0.7619, Kappa=0.7501, HD95=22.00, NSD=0.2674
JPCLN142.png: DSC=0.9169, IoU=0.8465, Sens=0.8626, Spec=0.9912, MCC=0.8853, Kappa=0.8817, HD95=9.85, NSD=0.4686
JPCLN143.png: DSC=0.9002, IoU=0.8185, Sens=0.8471, Spec=0.9782, MCC=0.8480, Kappa=0.8439, HD95=14.13, NSD=0.3512
JPCLN144.png: DSC=0.9137, IoU=0.8411, Sens=0.8643, Spec=0.9873, MCC=0.8801, Kappa=0.8772, HD95=8.31, NSD=0.4023
JPCLN145.png: DSC=0.9007, IoU=0.8193, Sens=0.8593, Spec=0.9770, MCC=0.8593, Kappa=0.8572, HD95=7.81, NSD=0.2550
JPCLN146.png: DSC=0.8557, IoU=0.7477, Sens=0.7638, Spec=0.9835, MCC=0.7816, Kappa=0.7667, HD95=19.24, NSD=0.2544
JPCLN147.png: DSC=0.9171, IoU=0.8468, Sens=0.8689, Spec=0.9868, MCC=0.8814, Kappa=0.8785, HD95=11.18, NSD=0.3974
JPCLN148.png: DSC=0.8961, IoU=0.8117, Sens=0.8312, Spec=0.9877, MCC=0.8546, Kappa=0.8491, HD95=12.44, NSD=0.3632
JPCLN149.png: DSC=0.9114, IoU=0.8373, Sens=0.8784, Spec=0.9826, MCC=0.8827, Kappa=0.8816, HD95=8.49, NSD=0.4203
JPCLN150.png: DSC=0.9168, IoU=0.8463, Sens=0.8580, Spec=0.9939, MCC=0.8876, Kappa=0.8835, HD95=10.20, NSD=0.4144
JPCLN151.png: DSC=0.9137, IoU=0.8412, Sens=0.8927, Spec=0.9774, MCC=0.8833, Kappa=0.8829, HD95=8.53, NSD=0.4066
JPCLN152.png: DSC=0.9120, IoU=0.8382, Sens=0.8494, Spec=0.9940, MCC=0.8813, Kappa=0.8766, HD95=9.00, NSD=0.4284
JPCLN153.png: DSC=0.8962, IoU=0.8119, Sens=0.8396, Spec=0.9802, MCC=0.8465, Kappa=0.8420, HD95=14.56, NSD=0.3792
JPCLN154.png: DSC=0.8588, IoU=0.7525, Sens=0.7735, Spec=0.9903, MCC=0.8253, Kappa=0.8168, HD95=43.83, NSD=0.5203
JPCNN001.png: DSC=0.8931, IoU=0.8069, Sens=0.8233, Spec=0.9867, MCC=0.8402, Kappa=0.8327, HD95=16.99, NSD=0.3870
JPCNN002.png: DSC=0.8838, IoU=0.7918, Sens=0.8289, Spec=0.9739, MCC=0.8297, Kappa=0.8256, HD95=12.46, NSD=0.2397
JPCNN003.png: DSC=0.8930, IoU=0.8067, Sens=0.8661, Spec=0.9775, MCC=0.8623, Kappa=0.8616, HD95=11.66, NSD=0.4733
JPCNN004.png: DSC=0.8846, IoU=0.7930, Sens=0.8280, Spec=0.9823, MCC=0.8463, Kappa=0.8426, HD95=9.90, NSD=0.2795
JPCNN005.png: DSC=0.8657, IoU=0.7632, Sens=0.7866, Spec=0.9801, MCC=0.8018, Kappa=0.7920, HD95=23.78, NSD=0.3250
JPCNN006.png: DSC=0.9111, IoU=0.8368, Sens=0.8598, Spec=0.9868, MCC=0.8753, Kappa=0.8720, HD95=9.06, NSD=0.3732
JPCNN007.png: DSC=0.8490, IoU=0.7376, Sens=0.7803, Spec=0.9769, MCC=0.8016, Kappa=0.7959, HD95=20.03, NSD=0.3895
