=== METRICS: train/covid-19 ===

covid_210.png: DSC=0.9082, IoU=0.8318, Sens=0.8499, Spec=0.9930, MCC=0.8846, Kappa=0.8811, HD95=28.50, NSD=0.2455
covid_212.png: DSC=0.8540, IoU=0.7451, Sens=0.8395, Spec=0.9195, MCC=0.7640, Kappa=0.7637, HD95=74.41, NSD=0.0899
covid_213.png: DSC=0.7959, IoU=0.6611, Sens=0.6846, Spec=0.9928, MCC=0.7766, Kappa=0.7626, HD95=51.65, NSD=0.1381
covid_215.png: DSC=0.4273, IoU=0.2717, Sens=0.3328, Spec=0.9456, MCC=0.3543, Kappa=0.3345, HD95=252.06, NSD=0.0644
covid_216.png: DSC=0.0231, IoU=0.0117, Sens=0.0128, Spec=0.9759, MCC=-0.0310, Kappa=-0.0170, HD95=199.16, NSD=0.0326
covid_217.png: DSC=0.7468, IoU=0.5960, Sens=0.5992, Spec=0.9986, MCC=0.7328, Kappa=0.7011, HD95=43.00, NSD=0.1647
covid_218.png: DSC=0.8608, IoU=0.7556, Sens=0.8215, Spec=0.9693, MCC=0.8166, Kappa=0.8149, HD95=40.81, NSD=0.1680
covid_219.png: DSC=0.0180, IoU=0.0091, Sens=0.0096, Spec=0.9791, MCC=-0.0373, Kappa=-0.0162, HD95=157.11, NSD=0.0896
covid_22.png: DSC=0.7391, IoU=0.5862, Sens=0.5936, Spec=0.9978, MCC=0.7351, Kappa=0.7066, HD95=56.04, NSD=0.2058
covid_220.png: DSC=0.5153, IoU=0.3471, Sens=0.3593, Spec=0.9802, MCC=0.4671, Kappa=0.3918, HD95=140.28, NSD=0.1061
covid_221.png: DSC=0.7816, IoU=0.6415, Sens=0.6973, Spec=0.9839, MCC=0.7544, Kappa=0.7469, HD95=43.90, NSD=0.2248
covid_222.png: DSC=0.5360, IoU=0.3662, Sens=0.5360, Spec=0.8358, MCC=0.3718, Kappa=0.3718, HD95=105.47, NSD=0.0525
covid_225.png: DSC=0.9201, IoU=0.8520, Sens=0.8922, Spec=0.9806, MCC=0.8895, Kappa=0.8887, HD95=19.72, NSD=0.1994
covid_227.png: DSC=0.8249, IoU=0.7020, Sens=0.7450, Spec=0.9841, MCC=0.7923, Kappa=0.7855, HD95=54.30, NSD=0.1615
