=== METRICS: train/tb ===

CHNCXR_94_0.png: DSC=0.8646, IoU=0.7616, Sens=0.7668, Spec=0.9978, MCC=0.8394, Kappa=0.8283, HD95=15.75, NSD=0.3827
CHNCXR_95_0.png: DSC=0.8237, IoU=0.7003, Sens=0.7091, Spec=0.9953, MCC=0.7892, Kappa=0.7717, HD95=43.73, NSD=0.3493
CHNCXR_9_0.png: DSC=0.8501, IoU=0.7392, Sens=0.7409, Spec=0.9994, MCC=0.8306, Kappa=0.8171, HD95=20.42, NSD=0.2511
DARCXR_301.png: DSC=0.7241, IoU=0.5675, Sens=0.7790, Spec=0.8239, MCC=0.5830, Kappa=0.5796, HD95=31.79, NSD=0.2053
DARCXR_302.png: DSC=0.6060, IoU=0.4347, Sens=0.4374, Spec=0.9972, MCC=0.5828, Kappa=0.5121, HD95=54.80, NSD=0.1527
DARCXR_307.png: DSC=0.8136, IoU=0.6857, Sens=0.6966, Spec=0.9895, MCC=0.7450, Kappa=0.7211, HD95=30.27, NSD=0.3624
DARCXR_309.png: DSC=0.7694, IoU=0.6252, Sens=0.6272, Spec=0.9982, MCC=0.7200, Kappa=0.6845, HD95=28.00, NSD=0.2342
DARCXR_312.png: DSC=0.5874, IoU=0.4158, Sens=0.4164, Spec=0.9994, MCC=0.5776, Kappa=0.5015, HD95=83.22, NSD=0.1679
DARCXR_315.png: DSC=0.7470, IoU=0.5962, Sens=0.5975, Spec=0.9985, MCC=0.6829, Kappa=0.6375, HD95=32.10, NSD=0.1679
DARCXR_316.png: DSC=0.7761, IoU=0.6342, Sens=0.6387, Spec=0.9955, MCC=0.7145, Kappa=0.6798, HD95=32.39, NSD=0.3101
DARCXR_317.png: DSC=0.7974, IoU=0.6630, Sens=0.6666, Spec=0.9966, MCC=0.7360, Kappa=0.7054, HD95=32.01, NSD=0.3007
DARCXR_318.png: DSC=0.7442, IoU=0.5926, Sens=0.5939, Spec=0.9989, MCC=0.6984, Kappa=0.6570, HD95=27.66, NSD=0.1728
DARCXR_320.png: DSC=0.7563, IoU=0.6081, Sens=0.6095, Spec=0.9985, MCC=0.6973, Kappa=0.6558, HD95=31.40, NSD=0.2348
DARCXR_321.png: DSC=0.7254, IoU=0.5691, Sens=0.5706, Spec=0.9985, MCC=0.6726, Kappa=0.6246, HD95=32.56, NSD=0.1950
DARCXR_327.png: DSC=0.8161, IoU=0.6894, Sens=0.7019, Spec=0.9907, MCC=0.7630, Kappa=0.7429, HD95=28.00, NSD=0.2988
DARCXR_329.png: DSC=0.7077, IoU=0.5476, Sens=0.5530, Spec=0.9957, MCC=0.6699, Kappa=0.6254, HD95=34.43, NSD=0.3503
