=== METRICS: train/jsrt ===

JPCLN089.png: DSC=0.8704, IoU=0.7705, Sens=0.7941, Spec=0.9743, MCC=0.7899, Kappa=0.7793, HD95=16.49, NSD=0.2459
JPCLN090.png: DSC=0.8512, IoU=0.7409, Sens=0.7578, Spec=0.9893, MCC=0.8055, Kappa=0.7936, HD95=17.20, NSD=0.2217
JPCLN091.png: DSC=0.8432, IoU=0.7289, Sens=0.7497, Spec=0.9870, MCC=0.7958, Kappa=0.7840, HD95=14.34, NSD=0.2648
JPCLN092.png: DSC=0.8875, IoU=0.7977, Sens=0.8277, Spec=0.9751, MCC=0.8270, Kappa=0.8216, HD95=13.60, NSD=0.2825
JPCLN093.png: DSC=0.8185, IoU=0.6928, Sens=0.7047, Spec=0.9887, MCC=0.7505, Kappa=0.7282, HD95=19.10, NSD=0.2424
JPCLN094.png: DSC=0.8769, IoU=0.7807, Sens=0.8029, Spec=0.9863, MCC=0.8324, Kappa=0.8253, HD95=13.00, NSD=0.3251
JPCLN095.png: DSC=0.8439, IoU=0.7299, Sens=0.7632, Spec=0.9884, MCC=0.8163, Kappa=0.8095, HD95=20.71, NSD=0.2231
JPCLN096.png: DSC=0.8682, IoU=0.7671, Sens=0.8082, Spec=0.9749, MCC=0.8175, Kappa=0.8129, HD95=13.00, NSD=0.2096
JPCLN097.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
JPCLN098.png: DSC=0.8314, IoU=0.7114, Sens=0.7324, Spec=0.9844, MCC=0.7739, Kappa=0.7593, HD95=15.52, NSD=0.1710
JPCLN099.png: DSC=0.8803, IoU=0.7862, Sens=0.8246, Spec=0.9836, MCC=0.8469, Kappa=0.8436, HD95=12.00, NSD=0.3329
JPCLN100.png: DSC=0.6728, IoU=0.5069, Sens=0.5235, Spec=0.9874, MCC=0.6332, Kappa=0.5918, HD95=95.19, NSD=0.3681
JPCLN101.png: DSC=0.8610, IoU=0.7560, Sens=0.8084, Spec=0.9593, MCC=0.7914, Kappa=0.7875, HD95=16.28, NSD=0.2309
JPCLN102.png: DSC=0.8680, IoU=0.7668, Sens=0.7890, Spec=0.9827, MCC=0.8103, Kappa=0.8010, HD95=14.14, NSD=0.3136
JPCLN103.png: DSC=0.0199, IoU=0.0101, Sens=0.0102, Spec=0.9934, MCC=0.0195, Kappa=0.0041, HD95=179.68, NSD=0.0530
JPCLN104.png: DSC=0.8806, IoU=0.7866, Sens=0.8099, Spec=0.9852, MCC=0.8348, Kappa=0.8282, HD95=12.00, NSD=0.3072
JPCLN105.png: DSC=0.5702, IoU=0.3988, Sens=0.4007, Spec=0.9980, MCC=0.5615, Kappa=0.4837, HD95=124.93, NSD=0.1852
JPCLN106.png: DSC=0.8216, IoU=0.6972, Sens=0.7279, Spec=0.9785, MCC=0.7627, Kappa=0.7502, HD95=20.00, NSD=0.2749
JPCLN107.png: DSC=0.8934, IoU=0.8074, Sens=0.8663, Spec=0.9349, MCC=0.8051, Kappa=0.8038, HD95=13.42, NSD=0.2825
JPCLN108.png: DSC=0.8434, IoU=0.7291, Sens=0.7454, Spec=0.9905, MCC=0.8012, Kappa=0.7885, HD95=33.95, NSD=0.3331
JPCLN109.png: DSC=0.8934, IoU=0.8073, Sens=0.8263, Spec=0.9887, MCC=0.8537, Kappa=0.8480, HD95=10.20, NSD=0.3099
JPCLN110.png: DSC=0.8504, IoU=0.7397, Sens=0.7576, Spec=0.9883, MCC=0.8022, Kappa=0.7903, HD95=15.81, NSD=0.2276
JPCLN111.png: DSC=0.8150, IoU=0.6878, Sens=0.7162, Spec=0.9713, MCC=0.7310, Kappa=0.7142, HD95=19.53, NSD=0.1833
JPCLN112.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
JPCLN113.png: DSC=0.8617, IoU=0.7569, Sens=0.7842, Spec=0.9803, MCC=0.8055, Kappa=0.7970, HD95=16.12, NSD=0.2776
JPCLN114.png: DSC=0.8168, IoU=0.6903, Sens=0.7063, Spec=0.9915, MCC=0.7791, Kappa=0.7630, HD95=17.83, NSD=0.3297
JPCLN115.png: DSC=0.4750, IoU=0.3114, Sens=0.3258, Spec=0.9680, MCC=0.4018, Kappa=0.3247, HD95=149.39, NSD=0.1334
JPCLN116.png: DSC=0.8884, IoU=0.7991, Sens=0.8317, Spec=0.9852, MCC=0.8551, Kappa=0.8516, HD95=11.18, NSD=0.3280
JPCLN117.png: DSC=0.8605, IoU=0.7552, Sens=0.7934, Spec=0.9818, MCC=0.8212, Kappa=0.8160, HD95=10.60, NSD=0.2281
JPCLN118.png: DSC=0.8484, IoU=0.7367, Sens=0.7648, Spec=0.9724, MCC=0.7696, Kappa=0.7578, HD95=17.00, NSD=0.2562
JPCLN119.png: DSC=0.6024, IoU=0.4310, Sens=0.4368, Spec=0.9961, MCC=0.5985, Kappa=0.5370, HD95=114.47, NSD=0.2405
JPCLN120.png: DSC=0.8568, IoU=0.7494, Sens=0.7562, Spec=0.9941, MCC=0.7985, Kappa=0.7820, HD95=16.49, NSD=0.2315
JPCLN121.png: DSC=0.8583, IoU=0.7518, Sens=0.7977, Spec=0.9712, MCC=0.8033, Kappa=0.7986, HD95=11.40, NSD=0.2381
JPCLN122.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
JPCLN123.png: DSC=0.8694, IoU=0.7690, Sens=0.8129, Spec=0.9770, MCC=0.8254, Kappa=0.8217, HD95=11.70, NSD=0.3213
JPCLN124.png: DSC=0.5887, IoU=0.4172, Sens=0.4229, Spec=0.9940, MCC=0.5644, Kappa=0.4945, HD95=121.00, NSD=0.2129
JPCLN125.png: DSC=0.8110, IoU=0.6821, Sens=0.6973, Spec=0.9896, MCC=0.7614, Kappa=0.7423, HD95=20.61, NSD=0.3269
JPCLN126.png: DSC=0.8702, IoU=0.7702, Sens=0.7891, Spec=0.9826, MCC=0.8043, Kappa=0.7935, HD95=16.12, NSD=0.2592
JPCLN127.png: DSC=0.8390, IoU=0.7226, Sens=0.7475, Spec=0.9876, MCC=0.8005, Kappa=0.7903, HD95=16.35, NSD=0.3573
JPCLN128.png: DSC=0.8805, IoU=0.7865, Sens=0.7965, Spec=0.9957, MCC=0.8535, Kappa=0.8456, HD95=13.00, NSD=0.4277
JPCLN129.png: DSC=0.5592, IoU=0.3881, Sens=0.3919, Spec=0.9918, MCC=0.4943, Kappa=0.4036, HD95=128.88, NSD=0.1904
JPCLN130.png: DSC=0.8488, IoU=0.7373, Sens=0.7940, Spec=0.9633, MCC=0.7876, Kappa=0.7838, HD95=15.13, NSD=0.1901
JPCLN131.png: DSC=0.8560, IoU=0.7483, Sens=0.7725, Spec=0.9917, MCC=0.8313, Kappa=0.8240, HD95=12.53, NSD=0.3410
JPCLN132.png: DSC=0.8904, IoU=0.8025, Sens=0.8349, Spec=0.9850, MCC=0.8566, Kappa=0.8532, HD95=15.00, NSD=0.3794
JPCLN133.png: DSC=0.8520, IoU=0.7421, Sens=0.7739, Spec=0.9788, MCC=0.7975, Kappa=0.7892, HD95=17.00, NSD=0.3046
JPCLN134.png: DSC=0.8153, IoU=0.6882, Sens=0.7233, Spec=0.9826, MCC=0.7730, Kappa=0.7626, HD95=15.29, NSD=0.2095
JPCLN135.png: DSC=0.5201, IoU=0.3514, Sens=0.3732, Spec=0.9738, MCC=0.4726, Kappa=0.4145, HD95=130.28, NSD=0.1702
JPCLN136.png: DSC=0.5583, IoU=0.3873, Sens=0.3943, Spec=0.9943, MCC=0.5555, Kappa=0.4860, HD95=118.00, NSD=0.1933
JPCLN137.png: DSC=0.8319, IoU=0.7122, Sens=0.7384, Spec=0.9914, MCC=0.8081, Kappa=0.7987, HD95=15.23, NSD=0.2882
JPCLN138.png: DSC=0.6256, IoU=0.4552, Sens=0.4597, Spec=0.9960, MCC=0.6041, Kappa=0.5421, HD95=110.00, NSD=0.2877
JPCLN139.png: DSC=0.8631, IoU=0.7592, Sens=0.8015, Spec=0.9687, MCC=0.8004, Kappa=0.7951, HD95=13.00, NSD=0.2399
JPCLN140.png: DSC=0.8888, IoU=0.7998, Sens=0.8302, Spec=0.9742, MCC=0.8271, Kappa=0.8218, HD95=15.81, NSD=0.3410
JPCLN141.png: DSC=0.8594, IoU=0.7534, Sens=0.7895, Spec=0.9763, MCC=0.8053, Kappa=0.7988, HD95=14.00, NSD=0.2524
JPCLN142.png: DSC=0.8474, IoU=0.7352, Sens=0.7685, Spec=0.9789, MCC=0.7949, Kappa=0.7867, HD95=13.45, NSD=0.2784
JPCLN143.png: DSC=0.8789, IoU=0.7839, Sens=0.8341, Spec=0.9600, MCC=0.8124, Kappa=0.8095, HD95=14.14, NSD=0.3372
