=== METRICS: train/tb ===

DARCXR_309.png: DSC=0.5188, IoU=0.3503, Sens=0.3718, Spec=0.9672, MCC=0.4514, Kappa=0.3907, HD95=135.95, NSD=0.0577
DARCXR_312.png: DSC=0.1866, IoU=0.1029, Sens=0.1029, Spec=1.0000, MCC=0.2741, Kappa=0.1398, HD95=281.81, NSD=0.0000
DARCXR_315.png: DSC=0.5330, IoU=0.3634, Sens=0.3635, Spec=0.9998, MCC=0.5038, Kappa=0.4052, HD95=122.00, NSD=0.0956
DARCXR_316.png: DSC=0.6535, IoU=0.4854, Sens=0.4876, Spec=0.9971, MCC=0.6024, Kappa=0.5363, HD95=103.31, NSD=0.0660
DARCXR_317.png: DSC=0.6359, IoU=0.4662, Sens=0.4663, Spec=0.9999, MCC=0.5900, Kappa=0.5166, HD95=82.01, NSD=0.0425
DARCXR_318.png: DSC=0.2994, IoU=0.1761, Sens=0.1762, Spec=0.9996, MCC=0.3503, Kappa=0.2196, HD95=204.09, NSD=0.0782
DARCXR_320.png: DSC=0.3314, IoU=0.1986, Sens=0.1988, Spec=0.9996, MCC=0.3629, Kappa=0.2335, HD95=153.07, NSD=0.0516
DARCXR_321.png: DSC=0.3408, IoU=0.2054, Sens=0.2057, Spec=0.9992, MCC=0.3722, Kappa=0.2454, HD95=332.54, NSD=0.0648
DARCXR_327.png: DSC=0.4077, IoU=0.2561, Sens=0.2572, Spec=0.9978, MCC=0.4244, Kappa=0.3105, HD95=154.26, NSD=0.0547
DARCXR_329.png: DSC=0.2305, IoU=0.1303, Sens=0.1303, Spec=1.0000, MCC=0.3070, Kappa=0.1723, HD95=323.87, NSD=0.0844
DARCXR_330.png: DSC=0.2758, IoU=0.1599, Sens=0.1600, Spec=0.9999, MCC=0.3213, Kappa=0.1875, HD95=246.67, NSD=0.0895
DARCXR_332.png: DSC=0.4294, IoU=0.2734, Sens=0.2736, Spec=0.9998, MCC=0.4540, Kappa=0.3424, HD95=136.99, NSD=0.0678
DARCXR_334.png: DSC=0.2681, IoU=0.1548, Sens=0.1549, Spec=0.9997, MCC=0.3278, Kappa=0.1948, HD95=280.77, NSD=0.0820
DARCXR_337.png: DSC=0.1563, IoU=0.0847, Sens=0.0848, Spec=0.9997, MCC=0.2356, Kappa=0.1060, HD95=209.33, NSD=0.0525
DARCXR_340.png: DSC=0.0372, IoU=0.0190, Sens=0.0190, Spec=1.0000, MCC=0.1156, Kappa=0.0264, HD95=332.02, NSD=0.0000
DARCXR_341.png: DSC=0.2446, IoU=0.1393, Sens=0.1393, Spec=1.0000, MCC=0.3307, Kappa=0.1971, HD95=277.65, NSD=0.0000
DARCXR_342.png: DSC=0.3854, IoU=0.2387, Sens=0.2387, Spec=0.9999, MCC=0.3963, Kappa=0.2717, HD95=254.43, NSD=0.0260
DARCXR_345.png: DSC=0.4359, IoU=0.2787, Sens=0.2787, Spec=0.9999, MCC=0.4531, Kappa=0.3409, HD95=189.76, NSD=0.0387
DARCXR_346.png: DSC=0.6413, IoU=0.4720, Sens=0.4779, Spec=0.9927, MCC=0.5897, Kappa=0.5262, HD95=142.62, NSD=0.0840
DARCXR_347.png: DSC=0.4791, IoU=0.3150, Sens=0.3158, Spec=0.9988, MCC=0.4855, Kappa=0.3844, HD95=159.36, NSD=0.1089
DARCXR_348.png: DSC=0.3659, IoU=0.2239, Sens=0.2244, Spec=0.9990, MCC=0.4016, Kappa=0.2805, HD95=174.47, NSD=0.0571
DARCXR_349.png: DSC=0.0527, IoU=0.0271, Sens=0.0271, Spec=1.0000, MCC=0.1361, Kappa=0.0364, HD95=331.71, NSD=0.0117
DARCXR_351.png: DSC=0.3458, IoU=0.2090, Sens=0.2092, Spec=0.9995, MCC=0.3630, Kappa=0.2339, HD95=271.02, NSD=0.0621
DARCXR_353.png: DSC=0.5695, IoU=0.3981, Sens=0.3989, Spec=0.9994, MCC=0.5799, Kappa=0.5049, HD95=116.25, NSD=0.1136
DARCXR_355.png: DSC=0.2578, IoU=0.1480, Sens=0.1480, Spec=1.0000, MCC=0.3026, Kappa=0.1678, HD95=263.03, NSD=0.0058
DARCXR_358.png: DSC=0.4689, IoU=0.3063, Sens=0.3063, Spec=1.0000, MCC=0.4701, Kappa=0.3620, HD95=127.12, NSD=0.0379
DARCXR_359.png: DSC=0.1771, IoU=0.0972, Sens=0.0973, Spec=0.9991, MCC=0.2317, Kappa=0.1037, HD95=218.09, NSD=0.0416
DARCXR_360.png: DSC=0.2510, IoU=0.1435, Sens=0.1440, Spec=0.9981, MCC=0.2998, Kappa=0.1696, HD95=181.30, NSD=0.0163
DARCXR_362.png: DSC=0.1855, IoU=0.1022, Sens=0.1022, Spec=1.0000, MCC=0.2532, Kappa=0.1205, HD95=290.54, NSD=0.0017
DARCXR_364.png: DSC=0.5590, IoU=0.3879, Sens=0.3884, Spec=0.9991, MCC=0.5228, Kappa=0.4308, HD95=101.14, NSD=0.0324
DARCXR_365.png: DSC=0.1871, IoU=0.1032, Sens=0.1033, Spec=0.9998, MCC=0.2745, Kappa=0.1411, HD95=286.65, NSD=0.0547
DARCXR_366.png: DSC=0.5504, IoU=0.3797, Sens=0.3797, Spec=1.0000, MCC=0.5265, Kappa=0.4340, HD95=106.06, NSD=0.0328
DARCXR_369.png: DSC=0.1165, IoU=0.0619, Sens=0.0619, Spec=1.0000, MCC=0.2151, Kappa=0.0885, HD95=333.14, NSD=0.0000
DARCXR_370.png: DSC=0.3584, IoU=0.2183, Sens=0.2193, Spec=0.9969, MCC=0.3718, Kappa=0.2493, HD95=320.36, NSD=0.0811
DARCXR_371.png: DSC=0.4609, IoU=0.2995, Sens=0.2996, Spec=0.9997, MCC=0.4457, Kappa=0.3320, HD95=129.28, NSD=0.0445
DARCXR_372.png: DSC=0.2088, IoU=0.1166, Sens=0.1166, Spec=1.0000, MCC=0.2789, Kappa=0.1443, HD95=245.61, NSD=0.0056
DARCXR_375.png: DSC=0.0989, IoU=0.0520, Sens=0.0520, Spec=0.9999, MCC=0.1937, Kappa=0.0725, HD95=288.28, NSD=0.0953
DARCXR_378.png: DSC=0.0443, IoU=0.0226, Sens=0.0226, Spec=0.9999, MCC=0.1078, Kappa=0.0231, HD95=314.88, NSD=0.0376
DARCXR_379.png: DSC=0.4267, IoU=0.2712, Sens=0.2729, Spec=0.9976, MCC=0.4536, Kappa=0.3482, HD95=207.14, NSD=0.1951
DARCXR_380.png: DSC=0.2299, IoU=0.1299, Sens=0.1299, Spec=1.0000, MCC=0.2986, Kappa=0.1638, HD95=280.92, NSD=0.0000
DARCXR_381.png: DSC=0.0453, IoU=0.0232, Sens=0.0232, Spec=1.0000, MCC=0.1229, Kappa=0.0297, HD95=319.62, NSD=0.0000
DARCXR_382.png: DSC=0.0734, IoU=0.0381, Sens=0.0381, Spec=1.0000, MCC=0.1637, Kappa=0.0522, HD95=309.03, NSD=0.0000
DARCXR_383.png: DSC=0.4018, IoU=0.2514, Sens=0.2514, Spec=1.0000, MCC=0.4153, Kappa=0.2942, HD95=251.66, NSD=0.0225
DARCXR_385.png: DSC=0.3832, IoU=0.2370, Sens=0.2370, Spec=1.0000, MCC=0.3883, Kappa=0.2621, HD95=145.43, NSD=0.0000
DARCXR_386.png: DSC=0.4008, IoU=0.2506, Sens=0.2529, Spec=0.9927, MCC=0.3791, Kappa=0.2634, HD95=301.52, NSD=0.0229
DARCXR_387.png: DSC=0.3461, IoU=0.2093, Sens=0.2138, Spec=0.9895, MCC=0.3581, Kappa=0.2534, HD95=368.17, NSD=0.0490
DARCXR_388.png: DSC=0.4520, IoU=0.2920, Sens=0.2987, Spec=0.9903, MCC=0.4489, Kappa=0.3588, HD95=184.67, NSD=0.0519
DARCXR_389.png: DSC=0.0820, IoU=0.0428, Sens=0.0429, Spec=0.9978, MCC=0.1423, Kappa=0.0442, HD95=433.26, NSD=0.0360
DARCXR_395.png: DSC=0.2732, IoU=0.1582, Sens=0.1582, Spec=1.0000, MCC=0.3283, Kappa=0.1946, HD95=230.24, NSD=0.0011
DARCXR_399.png: DSC=0.2171, IoU=0.1217, Sens=0.1218, Spec=1.0000, MCC=0.3152, Kappa=0.1808, HD95=261.92, NSD=0.0420
DARCXR_400.png: DSC=0.2538, IoU=0.1454, Sens=0.1454, Spec=1.0000, MCC=0.3214, Kappa=0.1873, HD95=289.72, NSD=0.0157
DARCXR_402.png: DSC=0.4413, IoU=0.2831, Sens=0.2832, Spec=1.0000, MCC=0.4504, Kappa=0.3374, HD95=113.07, NSD=0.0231
DARCXR_406.png: DSC=0.2035, IoU=0.1133, Sens=0.1133, Spec=1.0000, MCC=0.2847, Kappa=0.1499, HD95=205.77, NSD=0.0206
DARCXR_407.png: DSC=0.2532, IoU=0.1449, Sens=0.1449, Spec=1.0000, MCC=0.3277, Kappa=0.1940, HD95=253.21, NSD=0.0000
DARCXR_409.png: DSC=0.3989, IoU=0.2491, Sens=0.2499, Spec=0.9983, MCC=0.4122, Kappa=0.2943, HD95=139.57, NSD=0.0331
DARCXR_411.png: DSC=0.2989, IoU=0.1757, Sens=0.1757, Spec=1.0000, MCC=0.3413, Kappa=0.2086, HD95=225.99, NSD=0.0000
DARCXR_412.png: DSC=0.3951, IoU=0.2462, Sens=0.2512, Spec=0.9885, MCC=0.3870, Kappa=0.2845, HD95=168.16, NSD=0.1438
DARCXR_413.png: DSC=0.8153, IoU=0.6882, Sens=0.6981, Spec=0.9868, MCC=0.7223, Kappa=0.6938, HD95=77.00, NSD=0.1560
DARCXR_415.png: DSC=0.8153, IoU=0.6881, Sens=0.7055, Spec=0.9879, MCC=0.7632, Kappa=0.7455, HD95=91.68, NSD=0.2514
