=== METRICS: train/tb ===

DARCXR_347.png: DSC=0.4516, IoU=0.2917, Sens=0.2922, Spec=0.9991, MCC=0.4660, Kappa=0.3589, HD95=68.23, NSD=0.1325
DARCXR_348.png: DSC=0.3302, IoU=0.1977, Sens=0.1980, Spec=0.9994, MCC=0.3765, Kappa=0.2501, HD95=86.09, NSD=0.0996
DARCXR_349.png: DSC=0.0513, IoU=0.0263, Sens=0.0263, Spec=1.0000, MCC=0.1343, Kappa=0.0355, HD95=144.23, NSD=0.0247
DARCXR_351.png: DSC=0.2984, IoU=0.1753, Sens=0.1760, Spec=0.9972, MCC=0.3231, Kappa=0.1949, HD95=117.03, NSD=0.0768
DARCXR_353.png: DSC=0.5281, IoU=0.3588, Sens=0.3596, Spec=0.9994, MCC=0.5475, Kappa=0.4631, HD95=50.13, NSD=0.1031
DARCXR_355.png: DSC=0.1429, IoU=0.0769, Sens=0.0769, Spec=1.0000, MCC=0.2148, Kappa=0.0882, HD95=125.86, NSD=0.0160
DARCXR_358.png: DSC=0.4393, IoU=0.2815, Sens=0.2815, Spec=1.0000, MCC=0.4485, Kappa=0.3350, HD95=73.06, NSD=0.0210
DARCXR_359.png: DSC=0.1498, IoU=0.0809, Sens=0.0809, Spec=1.0000, MCC=0.2134, Kappa=0.0871, HD95=171.33, NSD=0.0573
DARCXR_360.png: DSC=0.2098, IoU=0.1172, Sens=0.1179, Spec=0.9961, MCC=0.2607, Kappa=0.1369, HD95=122.32, NSD=0.0430
DARCXR_362.png: DSC=0.1869, IoU=0.1031, Sens=0.1031, Spec=1.0000, MCC=0.2544, Kappa=0.1215, HD95=132.56, NSD=0.0000
DARCXR_364.png: DSC=0.5873, IoU=0.4157, Sens=0.4165, Spec=0.9987, MCC=0.5444, Kappa=0.4592, HD95=37.20, NSD=0.1212
DARCXR_365.png: DSC=0.1154, IoU=0.0612, Sens=0.0614, Spec=0.9990, MCC=0.2036, Kappa=0.0840, HD95=123.64, NSD=0.0218
DARCXR_366.png: DSC=0.5284, IoU=0.3590, Sens=0.3590, Spec=1.0000, MCC=0.5095, Kappa=0.4122, HD95=44.64, NSD=0.0310
DARCXR_369.png: DSC=0.2086, IoU=0.1164, Sens=0.1164, Spec=1.0000, MCC=0.2973, Kappa=0.1624, HD95=139.49, NSD=0.0000
DARCXR_370.png: DSC=0.2733, IoU=0.1583, Sens=0.1584, Spec=0.9993, MCC=0.3170, Kappa=0.1843, HD95=139.79, NSD=0.0919
DARCXR_371.png: DSC=0.3773, IoU=0.2325, Sens=0.2325, Spec=1.0000, MCC=0.3871, Kappa=0.2606, HD95=65.80, NSD=0.0074
DARCXR_372.png: DSC=0.1077, IoU=0.0569, Sens=0.0569, Spec=1.0000, MCC=0.1928, Kappa=0.0717, HD95=138.19, NSD=0.0000
DARCXR_375.png: DSC=0.0350, IoU=0.0178, Sens=0.0178, Spec=1.0000, MCC=0.1131, Kappa=0.0253, HD95=134.11, NSD=0.0000
