=== METRICS: train/covid-19 ===

covid_77.png: DSC=0.9055, IoU=0.8274, Sens=0.8639, Spec=0.9906, MCC=0.8880, Kappa=0.8866, HD95=9.00, NSD=0.5415
covid_78.png: DSC=0.7150, IoU=0.5564, Sens=0.5953, Spec=0.9804, MCC=0.6748, Kappa=0.6545, HD95=32.04, NSD=0.1767
covid_79.png: DSC=0.6809, IoU=0.5162, Sens=0.5555, Spec=0.9603, MCC=0.5944, Kappa=0.5657, HD95=31.32, NSD=0.2699
covid_80.png: DSC=0.7742, IoU=0.6316, Sens=0.7533, Spec=0.9206, MCC=0.6853, Kappa=0.6848, HD95=31.43, NSD=0.2333
covid_81.png: DSC=0.2806, IoU=0.1632, Sens=0.4400, Spec=0.8173, MCC=0.1879, Kappa=0.1707, HD95=91.93, NSD=0.0994
covid_83.png: DSC=0.7333, IoU=0.5789, Sens=0.8108, Spec=0.9009, MCC=0.6642, Kappa=0.6593, HD95=34.71, NSD=0.3261
covid_89.png: DSC=0.8206, IoU=0.6958, Sens=0.7013, Spec=0.9939, MCC=0.7461, Kappa=0.7192, HD95=25.00, NSD=0.2725
covid_9.png: DSC=0.6736, IoU=0.5079, Sens=0.5255, Spec=0.9831, MCC=0.6168, Kappa=0.5734, HD95=40.53, NSD=0.1089
covid_92.png: DSC=0.8484, IoU=0.7367, Sens=0.8435, Spec=0.9579, MCC=0.8047, Kappa=0.8047, HD95=14.00, NSD=0.2757
covid_95.png: DSC=0.9346, IoU=0.8771, Sens=0.9118, Spec=0.9883, MCC=0.9162, Kappa=0.9157, HD95=5.39, NSD=0.6128
covid_96.png: DSC=0.8577, IoU=0.7509, Sens=0.7849, Spec=0.9771, MCC=0.8025, Kappa=0.7953, HD95=14.87, NSD=0.2201
covid_97.png: DSC=0.8855, IoU=0.7946, Sens=0.8175, Spec=0.9905, MCC=0.8569, Kappa=0.8519, HD95=14.00, NSD=0.4153
covid_98.png: DSC=0.8366, IoU=0.7191, Sens=0.7411, Spec=0.9941, MCC=0.8191, Kappa=0.8098, HD95=28.17, NSD=0.4089

--- AVERAGE METRICS ---
