=== METRICS: train/tb ===

DARCXR_309.png: DSC=0.2473, IoU=0.1411, Sens=0.1411, Spec=0.9999, MCC=0.3108, Kappa=0.1764, HD95=256.86, NSD=0.0274
DARCXR_312.png: DSC=0.0653, IoU=0.0337, Sens=0.0337, Spec=1.0000, MCC=0.1553, Kappa=0.0471, HD95=303.94, NSD=0.0000
DARCXR_315.png: DSC=0.1589, IoU=0.0863, Sens=0.0863, Spec=1.0000, MCC=0.2311, Kappa=0.1014, HD95=323.78, NSD=0.0058
DARCXR_316.png: DSC=0.1398, IoU=0.0751, Sens=0.0751, Spec=1.0000, MCC=0.2185, Kappa=0.0911, HD95=304.45, NSD=0.0000
DARCXR_317.png: DSC=0.2219, IoU=0.1248, Sens=0.1248, Spec=1.0000, MCC=0.2833, Kappa=0.1486, HD95=387.99, NSD=0.0000
DARCXR_318.png: DSC=0.0948, IoU=0.0498, Sens=0.0498, Spec=1.0000, MCC=0.1828, Kappa=0.0647, HD95=389.32, NSD=0.0000
DARCXR_320.png: DSC=0.0833, IoU=0.0435, Sens=0.0435, Spec=1.0000, MCC=0.1650, Kappa=0.0530, HD95=360.08, NSD=0.0166
DARCXR_321.png: DSC=0.0826, IoU=0.0431, Sens=0.0431, Spec=1.0000, MCC=0.1663, Kappa=0.0538, HD95=354.05, NSD=0.0000
DARCXR_327.png: DSC=0.0000, IoU=0.0000, Sens=0.0000, Spec=1.0000, MCC=0.0000, Kappa=0.0000, HD95=nan, NSD=nan
DARCXR_329.png: DSC=0.0789, IoU=0.0411, Sens=0.0411, Spec=1.0000, MCC=0.1700, Kappa=0.0562, HD95=383.01, NSD=0.0000
DARCXR_330.png: DSC=0.0283, IoU=0.0143, Sens=0.0143, Spec=1.0000, MCC=0.0935, Kappa=0.0173, HD95=347.26, NSD=0.0000
DARCXR_332.png: DSC=0.1180, IoU=0.0627, Sens=0.0627, Spec=1.0000, MCC=0.2104, Kappa=0.0848, HD95=309.89, NSD=0.0000
DARCXR_334.png: DSC=0.0471, IoU=0.0241, Sens=0.0241, Spec=1.0000, MCC=0.1268, Kappa=0.0316, HD95=380.80, NSD=0.0173
