=== METRICS FOR jsrt ===

JPCNN018.png: DSC=0.5634, IoU=0.3922, HD95=81.26
JPCNN019.png: DSC=0.8492, IoU=0.7379, HD95=36.21
JPCNN020.png: DSC=0.1910, IoU=0.1056, HD95=347.07
JPCNN021.png: DSC=0.6649, IoU=0.4980, HD95=95.90
JPCNN022.png: DSC=0.7530, IoU=0.6038, HD95=76.51
JPCNN023.png: DSC=0.3947, IoU=0.2459, HD95=317.98
JPCNN024.png: DSC=0.7275, IoU=0.5717, HD95=46.02
JPCNN025.png: DSC=0.8504, IoU=0.7397, HD95=32.06
JPCNN026.png: DSC=0.8208, IoU=0.6961, HD95=41.67
JPCNN027.png: DSC=0.7697, IoU=0.6256, HD95=59.40
JPCNN028.png: DSC=0.8527, IoU=0.7432, HD95=61.99
JPCNN029.png: DSC=0.8168, IoU=0.6903, HD95=80.11
JPCNN030.png: DSC=0.7747, IoU=0.6322, HD95=66.85
JPCNN031.png: DSC=0.5145, IoU=0.3464, HD95=457.45
JPCNN032.png: DSC=0.8807, IoU=0.7868, HD95=35.06
JPCNN033.png: DSC=0.6947, IoU=0.5323, HD95=77.00
JPCNN034.png: DSC=0.7586, IoU=0.6111, HD95=52.33
JPCNN035.png: DSC=0.8463, IoU=0.7335, HD95=42.47
JPCNN036.png: DSC=0.8844, IoU=0.7928, HD95=25.71
JPCNN037.png: DSC=0.8356, IoU=0.7176, HD95=58.68
JPCNN038.png: DSC=0.2381, IoU=0.1351, HD95=334.45
JPCNN039.png: DSC=0.7671, IoU=0.6222, HD95=76.94
JPCNN040.png: DSC=0.7689, IoU=0.6245, HD95=59.17
JPCNN041.png: DSC=0.7779, IoU=0.6365, HD95=53.10
JPCNN042.png: DSC=0.5211, IoU=0.3523, HD95=194.04
JPCNN043.png: DSC=0.8529, IoU=0.7435, HD95=41.99
JPCNN044.png: DSC=0.3925, IoU=0.2442, HD95=301.53
JPCNN045.png: DSC=0.5002, IoU=0.3335, HD95=302.23
