=== METRICS: train/covid-19 ===

covid_25.png: DSC=0.4143, IoU=0.2613, Sens=0.2614, Spec=0.9999, MCC=0.4527, Kappa=0.3406, HD95=142.13, NSD=0.0281
covid_251.png: DSC=0.2882, IoU=0.1684, Sens=0.1684, Spec=1.0000, MCC=0.3369, Kappa=0.2039, HD95=308.54, NSD=0.0107
covid_252.png: DSC=0.3753, IoU=0.2310, Sens=0.2424, Spec=0.9913, MCC=0.4079, Kappa=0.3299, HD95=283.58, NSD=0.1309
covid_257.png: DSC=0.3210, IoU=0.1912, Sens=0.1913, Spec=0.9998, MCC=0.3866, Kappa=0.2610, HD95=317.38, NSD=0.0115
covid_259.png: DSC=0.2827, IoU=0.1646, Sens=0.1646, Spec=1.0000, MCC=0.3676, Kappa=0.2381, HD95=204.92, NSD=0.0146
covid_263.png: DSC=0.2127, IoU=0.1190, Sens=0.1190, Spec=1.0000, MCC=0.2919, Kappa=0.1570, HD95=283.25, NSD=0.0205
covid_264.png: DSC=0.1412, IoU=0.0760, Sens=0.0760, Spec=1.0000, MCC=0.2549, Kappa=0.1220, HD95=170.45, NSD=0.0000
covid_267.png: DSC=0.7263, IoU=0.5702, Sens=0.5855, Spec=0.9955, MCC=0.7195, Kappa=0.6928, HD95=45.21, NSD=0.0805
covid_27.png: DSC=0.4656, IoU=0.3034, Sens=0.3084, Spec=0.9966, MCC=0.5008, Kappa=0.4160, HD95=133.18, NSD=0.0944
covid_28.png: DSC=0.2435, IoU=0.1386, Sens=0.1386, Spec=1.0000, MCC=0.3182, Kappa=0.1839, HD95=214.45, NSD=0.0000
covid_29.png: DSC=0.4441, IoU=0.2855, Sens=0.2855, Spec=1.0000, MCC=0.4895, Kappa=0.3865, HD95=173.10, NSD=0.0301
covid_31.png: DSC=0.7898, IoU=0.6526, Sens=0.7254, Spec=0.9085, MCC=0.6507, Kappa=0.6432, HD95=52.06, NSD=0.1186
covid_32.png: DSC=0.7517, IoU=0.6021, Sens=0.6255, Spec=0.9807, MCC=0.6884, Kappa=0.6619, HD95=95.96, NSD=0.0811
covid_33.png: DSC=0.4305, IoU=0.2743, Sens=0.2743, Spec=1.0000, MCC=0.4537, Kappa=0.3414, HD95=156.73, NSD=0.0250
covid_35.png: DSC=0.3998, IoU=0.2498, Sens=0.2499, Spec=1.0000, MCC=0.4710, Kappa=0.3632, HD95=158.12, NSD=0.0228
covid_37.png: DSC=0.4343, IoU=0.2774, Sens=0.2788, Spec=0.9986, MCC=0.4766, Kappa=0.3755, HD95=112.41, NSD=0.0670
covid_38.png: DSC=0.6477, IoU=0.4790, Sens=0.5019, Spec=0.9917, MCC=0.6410, Kappa=0.6063, HD95=72.72, NSD=0.1274
covid_39.png: DSC=0.2821, IoU=0.1642, Sens=0.1642, Spec=1.0000, MCC=0.3740, Kappa=0.2454, HD95=171.22, NSD=0.0234
covid_4.png: DSC=0.2746, IoU=0.1592, Sens=0.1592, Spec=1.0000, MCC=0.3620, Kappa=0.2317, HD95=325.30, NSD=0.0028
covid_41.png: DSC=0.3679, IoU=0.2254, Sens=0.3721, Spec=0.8644, MCC=0.2344, Kappa=0.2344, HD95=140.58, NSD=0.0635
covid_42.png: DSC=0.8556, IoU=0.7477, Sens=0.8017, Spec=0.9811, MCC=0.8238, Kappa=0.8210, HD95=26.25, NSD=0.1299
covid_44.png: DSC=0.3520, IoU=0.2136, Sens=0.2140, Spec=0.9996, MCC=0.4253, Kappa=0.3087, HD95=141.29, NSD=0.0299
