=== METRICS: train/jsrt ===

JPCLN128.png: DSC=0.8874, IoU=0.7977, Sens=0.8091, Spec=0.9951, MCC=0.8610, Kappa=0.8542, HD95=27.57, NSD=0.2273
JPCLN129.png: DSC=0.8613, IoU=0.7564, Sens=0.7763, Spec=0.9780, MCC=0.7799, Kappa=0.7665, HD95=51.00, NSD=0.1428
JPCLN130.png: DSC=0.8522, IoU=0.7425, Sens=0.7981, Spec=0.9643, MCC=0.7923, Kappa=0.7885, HD95=33.84, NSD=0.1094
JPCLN131.png: DSC=0.8674, IoU=0.7659, Sens=0.7936, Spec=0.9907, MCC=0.8428, Kappa=0.8373, HD95=26.68, NSD=0.1458
JPCLN132.png: DSC=0.8964, IoU=0.8123, Sens=0.8480, Spec=0.9836, MCC=0.8634, Kappa=0.8609, HD95=31.00, NSD=0.2272
JPCLN133.png: DSC=0.8587, IoU=0.7524, Sens=0.7867, Spec=0.9774, MCC=0.8048, Kappa=0.7979, HD95=38.33, NSD=0.1710
JPCLN134.png: DSC=0.8247, IoU=0.7017, Sens=0.7365, Spec=0.9831, MCC=0.7835, Kappa=0.7741, HD95=35.75, NSD=0.1122
JPCLN135.png: DSC=0.0074, IoU=0.0037, Sens=0.0037, Spec=0.9982, MCC=0.0176, Kappa=0.0026, HD95=413.62, NSD=0.0155
JPCLN136.png: DSC=0.5606, IoU=0.3895, Sens=0.3936, Spec=0.9966, MCC=0.5628, Kappa=0.4897, HD95=125.28, NSD=0.0975
JPCLN137.png: DSC=0.8385, IoU=0.7219, Sens=0.7419, Spec=0.9935, MCC=0.8166, Kappa=0.8067, HD95=37.57, NSD=0.1852
JPCLN138.png: DSC=0.8740, IoU=0.7762, Sens=0.8162, Spec=0.9794, MCC=0.8324, Kappa=0.8285, HD95=28.16, NSD=0.2226
JPCLN139.png: DSC=0.8665, IoU=0.7644, Sens=0.8027, Spec=0.9718, MCC=0.8060, Kappa=0.8003, HD95=30.00, NSD=0.1350
JPCLN140.png: DSC=0.8668, IoU=0.7649, Sens=0.7894, Spec=0.9781, MCC=0.7995, Kappa=0.7899, HD95=46.72, NSD=0.1771
JPCLN141.png: DSC=0.8602, IoU=0.7547, Sens=0.7932, Spec=0.9749, MCC=0.8056, Kappa=0.7996, HD95=34.00, NSD=0.1445
JPCLN142.png: DSC=0.8588, IoU=0.7526, Sens=0.7824, Spec=0.9815, MCC=0.8097, Kappa=0.8021, HD95=30.00, NSD=0.1682
JPCLN143.png: DSC=0.8833, IoU=0.7910, Sens=0.8391, Spec=0.9620, MCC=0.8193, Kappa=0.8164, HD95=31.14, NSD=0.2443
JPCLN144.png: DSC=0.8697, IoU=0.7695, Sens=0.8095, Spec=0.9761, MCC=0.8207, Kappa=0.8162, HD95=27.14, NSD=0.1279
JPCLN145.png: DSC=0.8737, IoU=0.7757, Sens=0.8213, Spec=0.9723, MCC=0.8230, Kappa=0.8195, HD95=31.00, NSD=0.2049
JPCLN146.png: DSC=0.8580, IoU=0.7513, Sens=0.7788, Spec=0.9719, MCC=0.7781, Kappa=0.7672, HD95=40.21, NSD=0.1029
JPCLN147.png: DSC=0.8720, IoU=0.7731, Sens=0.8032, Spec=0.9802, MCC=0.8214, Kappa=0.8150, HD95=33.54, NSD=0.1148
JPCLN148.png: DSC=0.8583, IoU=0.7517, Sens=0.7741, Spec=0.9849, MCC=0.8071, Kappa=0.7973, HD95=31.78, NSD=0.1795
JPCLN149.png: DSC=0.8877, IoU=0.7981, Sens=0.8207, Spec=0.9899, MCC=0.8571, Kappa=0.8521, HD95=26.00, NSD=0.2521
JPCLN150.png: DSC=0.8891, IoU=0.8004, Sens=0.8201, Spec=0.9891, MCC=0.8518, Kappa=0.8459, HD95=29.02, NSD=0.1403
JPCLN151.png: DSC=0.8773, IoU=0.7814, Sens=0.8163, Spec=0.9835, MCC=0.8407, Kappa=0.8365, HD95=25.63, NSD=0.1649
JPCLN152.png: DSC=0.8694, IoU=0.7690, Sens=0.7870, Spec=0.9895, MCC=0.8280, Kappa=0.8192, HD95=26.48, NSD=0.2114
JPCLN153.png: DSC=0.8908, IoU=0.8031, Sens=0.8441, Spec=0.9703, MCC=0.8357, Kappa=0.8327, HD95=26.02, NSD=0.1749
JPCLN154.png: DSC=0.8583, IoU=0.7517, Sens=0.7742, Spec=0.9896, MCC=0.8242, Kappa=0.8160, HD95=30.87, NSD=0.2034
JPCNN001.png: DSC=0.8484, IoU=0.7367, Sens=0.7723, Spec=0.9684, MCC=0.7737, Kappa=0.7646, HD95=41.01, NSD=0.1807
JPCNN002.png: DSC=0.8572, IoU=0.7500, Sens=0.8012, Spec=0.9622, MCC=0.7905, Kappa=0.7862, HD95=37.77, NSD=0.1124
JPCNN003.png: DSC=0.5271, IoU=0.3578, Sens=0.3723, Spec=0.9876, MCC=0.5158, Kappa=0.4520, HD95=279.94, NSD=0.1004
JPCNN004.png: DSC=0.8674, IoU=0.7658, Sens=0.7909, Spec=0.9869, MCC=0.8283, Kappa=0.8212, HD95=30.08, NSD=0.1760
JPCNN005.png: DSC=0.8686, IoU=0.7677, Sens=0.8127, Spec=0.9619, MCC=0.7972, Kappa=0.7925, HD95=40.85, NSD=0.1222
JPCNN006.png: DSC=0.8926, IoU=0.8061, Sens=0.8506, Spec=0.9734, MCC=0.8467, Kappa=0.8445, HD95=26.70, NSD=0.1896
JPCNN007.png: DSC=0.5927, IoU=0.4211, Sens=0.4557, Spec=0.9673, MCC=0.5300, Kappa=0.4912, HD95=117.07, NSD=0.1141
JPCNN008.png: DSC=0.8740, IoU=0.7762, Sens=0.8194, Spec=0.9724, MCC=0.8213, Kappa=0.8175, HD95=26.93, NSD=0.1800
JPCNN009.png: DSC=0.8662, IoU=0.7639, Sens=0.7992, Spec=0.9785, MCC=0.8169, Kappa=0.8112, HD95=57.15, NSD=0.1973
JPCNN010.png: DSC=0.8758, IoU=0.7791, Sens=0.8081, Spec=0.9784, MCC=0.8193, Kappa=0.8127, HD95=29.73, NSD=0.1358
JPCNN011.png: DSC=0.8771, IoU=0.7811, Sens=0.8131, Spec=0.9845, MCC=0.8402, Kappa=0.8356, HD95=28.61, NSD=0.1498
JPCNN012.png: DSC=0.5372, IoU=0.3672, Sens=0.3893, Spec=0.9668, MCC=0.4651, Kappa=0.4060, HD95=203.70, NSD=0.0753
JPCNN013.png: DSC=0.8747, IoU=0.7773, Sens=0.8211, Spec=0.9775, MCC=0.8325, Kappa=0.8292, HD95=29.72, NSD=0.1939
JPCNN014.png: DSC=0.8613, IoU=0.7564, Sens=0.8137, Spec=0.9684, MCC=0.8107, Kappa=0.8081, HD95=38.01, NSD=0.1230
JPCNN015.png: DSC=0.6063, IoU=0.4351, Sens=0.4369, Spec=0.9986, MCC=0.6001, Kappa=0.5327, HD95=144.50, NSD=0.1599
JPCNN016.png: DSC=0.5943, IoU=0.4228, Sens=0.4462, Spec=0.9690, MCC=0.5181, Kappa=0.4660, HD95=200.21, NSD=0.0565
JPCNN017.png: DSC=0.8394, IoU=0.7232, Sens=0.7310, Spec=0.9956, MCC=0.8019, Kappa=0.7861, HD95=63.92, NSD=0.1570
